date_iso,plant_key,energy_kwh,irradiance_kwh_m2,irradiance_source,pr,pr_confidence,capacity_factor,capacity_factor_confidence,inverters_reporting,inverters_with_reboot,notes,written_at_utc,pr_stc,specific_yield,availability,soiling_loss_pct,data_class,cloud_coverage_pct,expected_kwh,production_pct,status_note,design_kwh,billable_kwh
2026-08-18,SLP1,1112.1,7.9212,shinemaster_history,0.6638,HIGH,0.2763,HIGH,2,0,,2026-08-19T12:00:15+00:00,0.7218,5.2579,1,,partial,7.9988,1124.02,,energy corrected from vendor daily counter (was 994.8) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),803.6,1112.1
2026-08-18,SLP2,1710,8.4345,shinemaster_history,0.669,HIGH,0.2641,HIGH,2,0,,2026-08-19T12:00:17+00:00,0.7297,5.643,1,,partial,9.7508,1762.45,,energy corrected from vendor daily counter (was 1572.2) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),1556.5,1710
2026-08-18,GTO1,4926.5,7.314,shinemaster_history,0.7681,HIGH,0.2817,HIGH,6,0,,2026-08-19T12:00:19+00:00,0.8727,5.6178,1,,partial,17.8572,4488.95,,energy corrected from vendor daily counter (was 4597.2) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),4241,4926.5
2026-08-18,MEX1,3106.23,6.3954,shinemaster_history,0.8152,HIGH,0.2832,HIGH,3,0,,2026-08-19T12:00:21+00:00,0.8735,5.2134,1,,partial,37.0422,2814.18,,energy corrected from vendor daily counter (was 3058.8) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),2897.3,3106.23
2026-08-18,NL1,3670,7.4,shinemaster_history,0.7608,HIGH,0.292,HIGH,4,0,,2026-08-19T12:00:23+00:00,0.8254,5.6296,1,,partial,28.0947,3426.57,,energy corrected from vendor daily counter (was 3475.7) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),3240.2,3670
2026-08-18,MEX2,3095.5,6.3954,shinemaster_history,0.7822,HIGH,0.2825,HIGH,3,0,,2026-08-19T12:00:25+00:00,0.8383,5.0022,1,,partial,37.0422,2925.13,,energy corrected from vendor daily counter (was 3050.5) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),2838.3,3095.5
2026-08-18,MEX3,797,6.3954,shinemaster_history,0.7924,HIGH,0.2639,HIGH,1,0,,2026-08-19T12:00:27+00:00,0.8474,5.0678,1,,partial,48.822,743.37,,energy corrected from vendor daily counter (was 785.4),805.4,785.4
2026-08-18,NL2,1241.2,7.4,shinemaster_history,0.4707,HIGH,0.1622,HIGH,2,0,,2026-08-19T12:00:29+00:00,0.5106,3.483,1,,partial,31.6841,1860.36,,energy corrected from vendor daily counter (was 1167.5),1727.2,1167.5
2026-08-18,GTO2,1625.106,7.8312,shinemaster_history,0.2694,HIGH,0.1234,LOW,3,0,,2026-08-19T12:00:31+00:00,0.2975,2.1101,0.75,,partial,73.1032,3298.5,,energy corrected from vendor daily counter (was 1185.0),3020.7,1185.02
2026-08-19,SLP1,904.1,6.7308,shinemaster_history,0.6888,HIGH,0.2437,HIGH,2,0,,2026-08-20T12:00:14+00:00,0.7375,4.6364,0.9286,,partial,25.8579,955.1,,energy corrected from vendor daily counter (was 877.2) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),803.6,904.1
2026-08-19,SLP2,1406.5,6.6665,shinemaster_history,0.7386,HIGH,0.2305,HIGH,2,0,,2026-08-20T12:00:16+00:00,0.7875,4.9237,0.7083,,partial,24.4757,1393.02,,energy corrected from vendor daily counter (was 1371.8) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),1556.5,1406.5
2026-08-19,GTO1,4842,7.0104,shinemaster_history,0.8318,HIGH,0.2924,HIGH,6,0,,2026-08-20T12:00:19+00:00,0.9409,5.8315,0.5714,,partial,25.5847,4302.62,,energy corrected from vendor daily counter (was 4772.1) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),4241,4842
2026-08-19,MEX1,2405.24,4.4369,shinemaster_history,0.9069,HIGH,0.2186,HIGH,3,0,,2026-08-20T12:00:21+00:00,0.9765,4.0239,1,,partial,35.8894,1952.38,,energy corrected from vendor daily counter (was 2360.9) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),2897.3,2405.24
2026-08-19,NL1,3179.9,6.3395,shinemaster_history,0.7997,HIGH,0.2629,HIGH,4,0,,2026-08-20T12:00:24+00:00,0.8677,5.0695,0.5357,,partial,24.1415,2935.51,,energy corrected from vendor daily counter (was 3129.9) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),3240.2,3179.9
2026-08-19,MEX2,2365.12,4.4369,shinemaster_history,0.8577,HIGH,0.2149,HIGH,3,0,,2026-08-20T12:00:26+00:00,0.9235,3.8056,1,,partial,35.8894,2029.35,,energy corrected from vendor daily counter (was 2320.8) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),2838.3,2365.12
2026-08-19,MEX3,614.7,4.4369,shinemaster_history,0.8772,HIGH,0.2027,HIGH,1,0,,2026-08-20T12:00:27+00:00,0.9443,3.8921,1,,partial,53.2657,515.72,,energy corrected from vendor daily counter (was 603.2),805.4,603.2
2026-08-19,NL2,1195.7,6.3395,shinemaster_history,0.5542,HIGH,0.1636,HIGH,2,0,,2026-08-20T12:00:31+00:00,0.5982,3.5134,0.8958,,partial,23.5496,1593.75,,energy corrected from vendor daily counter (was 1177.7),1727.2,1177.7
2026-08-19,GTO2,1691.3,7.2626,shinemaster_history,0.3113,HIGH,0.1323,LOW,3,0,,2026-08-20T12:00:34+00:00,0.3397,2.261,0.75,,partial,99.6771,3059.01,,energy corrected from vendor daily counter (was 1269.8),3020.7,1269.75
2026-08-20,SLP1,832.2,5.4872,shinemaster_history,0.6436,HIGH,0.1856,HIGH,2,0,,2026-08-21T12:00:13+00:00,0.6991,3.5317,1,,partial,46.394,778.63,,energy corrected from vendor daily counter (was 668.2) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),803.6,832.2
2026-08-20,SLP2,1244.2,5.9907,shinemaster_history,0.6119,HIGH,0.1716,HIGH,2,0,,2026-08-21T12:00:15+00:00,0.6582,3.6657,0.8333,,partial,44.8687,1251.8,,energy corrected from vendor daily counter (was 1021.3) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),1556.5,1244.2
2026-08-20,GTO1,4833,7.1409,shinemaster_history,0.712,HIGH,0.2549,HIGH,6,0,,2026-08-21T12:00:18+00:00,0.8095,5.084,1,,partial,67.1851,4382.71,,energy corrected from vendor daily counter (was 4160.4) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),4241,4833
2026-08-20,MEX1,2269.34,4.9334,shinemaster_history,0.7645,HIGH,0.2049,HIGH,3,0,,2026-08-21T12:00:20+00:00,0.8187,3.7718,1,,partial,81.7084,2170.86,,energy corrected from vendor daily counter (was 2212.9) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),2897.3,2269.34
2026-08-20,NL1,3108.8,6.578,shinemaster_history,0.7193,HIGH,0.2454,HIGH,4,0,,2026-08-21T12:00:22+00:00,0.784,4.7318,0.5,,partial,22.9943,3045.94,,energy corrected from vendor daily counter (was 2921.4) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),3240.2,3108.8
2026-08-20,MEX2,2463.71,4.9334,shinemaster_history,0.8037,HIGH,0.2239,HIGH,3,0,,2026-08-21T12:00:24+00:00,0.8592,3.9648,1,,partial,81.7084,2256.44,,energy corrected from vendor daily counter (was 2417.9) | synced from PG at the 2026-08 close (energy+billable = reconciled basis),2838.3,2463.71
2026-08-20,MEX3,580.2,4.9334,shinemaster_history,0.7405,HIGH,0.1903,HIGH,1,0,,2026-08-21T12:00:26+00:00,0.7917,3.6534,1,,partial,86.5932,573.43,,energy corrected from vendor daily counter (was 566.2),805.4,566.2
